protocol,IP,ID,Time,F_Pck,B_Pck,F_Hash_IP,B_Hash_IP,F_Hash_port,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,192.225.200.41,278248238,355.958043,78,2,1,16,16,1,78,0,1
6,39.158.6.211,581982824,356.891009,80,0,1,16,16,1,80,0,1
6,175.158.154.221,822955710,357.688976,78,2,1,16,1,1,76,0,1
6,14.98.182.248,613261125,357.701348,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,357.896096,80,0,1,16,16,1,80,0,1
6,161.96.183.165,235493331,358.772877,79,1,1,16,1,1,79,0,1
6,39.158.6.211,581982824,360.890188,80,0,1,16,16,1,80,0,1
6,104.67.21.129,1000758655,362.866465,80,0,1,16,1,1,78,0,1
6,39.158.6.211,581982824,362.870289,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,362.889543,80,0,1,16,1,1,80,0,1
6,45.157.155.79,47353260,364.205009,80,0,1,16,1,1,80,0,1
6,45.155.246.52,808319281,364.519113,79,1,1,16,16,1,77,0,1
6,39.158.6.211,581982824,364.889063,80,0,1,16,16,1,80,0,1
6,165.124.3.187,186193821,366.765372,76,4,1,16,1,1,71,0,1
6,39.158.6.211,581982824,366.88877,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,367.875354,80,0,1,15,16,1,80,0,1
6,39.158.6.211,581982824,369.890717,80,0,1,16,16,1,80,0,1
6,185.183.30.113,754698047,370.369516,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,370.486092,80,0,1,16,1,1,80,0,1
6,139.189.82.248,216546338,370.907751,79,1,1,16,16,1,73,0,1
6,167.89.255.165,120894395,371.029694,79,1,1,16,1,1,79,0,1
6,192.225.218.93,691495745,371.633547,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,371.88893,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,373.89315,80,0,1,16,16,1,80,0,1
6,175.132.156.143,456931308,375.080166,80,0,1,15,1,1,80,0,1
6,51.33.103.18,356032643,375.173782,79,1,1,16,1,1,79,0,1
6,104.67.21.129,1000758655,375.67475,79,1,1,16,1,1,79,0,1
6,39.158.6.211,581982824,375.897731,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,377.896162,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,378.205537,80,0,1,16,1,1,80,0,1
6,110.142.235.230,176547894,379.569878,78,2,1,15,1,1,75,0,1
6,39.158.6.211,581982824,379.888391,80,0,1,16,16,1,80,0,1
