file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.Mixed_rseed-2222.pcap.178.63.213.204.pcap,83,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.178.63.222.238.pcap,139,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.180.137.60.146.pcap,41,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.180.150.59.16.pcap,131,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.180.166.77.98.pcap,59,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.182.239.172.222.pcap,340,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.183.143.77.118.pcap,36,9,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.102.244.129.pcap,113,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.102.246.36.pcap,530,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.113.35.222.pcap,48,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.113.35.223.pcap,49,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.16.118.125.pcap,318,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.79.228.241.pcap,31,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.185.79.228.37.pcap,76,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.188.88.44.129.pcap,140,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.188.88.77.172.pcap,137,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.1.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.2.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.3.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.4.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.5.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.156.119.124.pcap,122,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.1.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.2.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.3.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.4.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.5.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.1.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.2.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.3.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.4.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.5.pcap,90,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.193.202.159.151.pcap,63,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.120.pcap,3390,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.125.pcap,2671,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.240.pcap,3317,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.243.pcap,3095,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.244.pcap,3349,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.246.pcap,3249,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.195.73.40.173.pcap,33,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.195.73.46.102.pcap,40,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.197.13.237.233.pcap,59,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.128.pcap,56,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.129.pcap,40,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.130.pcap,68,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.131.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.132.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.133.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.134.pcap,43,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.135.pcap,51,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.136.pcap,50,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.137.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.138.pcap,56,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.139.pcap,43,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.140.pcap,52,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.130.141.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.224.pcap,55,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.225.pcap,55,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.226.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.228.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.229.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.230.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.231.pcap,49,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.232.pcap,60,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.233.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.198.163.131.235.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.202.74.19.185.pcap,88,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.203.141.15.245.pcap,42,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.203.160.16.223.pcap,51,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.203.78.116.180.pcap,69,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.206.66.15.40.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.206.66.54.13.pcap,31,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.208.132.93.201.pcap,381,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.209.110.157.133.pcap,133,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.218.27.125.19.pcap,53,7,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.219.101.9.108.pcap,89,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.219.198.176.29.pcap,53,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.220.17.166.185.pcap,69,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.220.29.176.16.pcap,66,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.220.97.219.80.pcap,146,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.222.184.21.128.pcap,71,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.222.184.42.168.pcap,41,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.222.66.59.44.pcap,153,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.222.66.62.159.pcap,504,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.223.133.216.135.pcap,0,2,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.223.141.45.140.pcap,0,12,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.24.170.230.230.pcap,0,0,1,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.27.198.233.131.pcap,49,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.144.244.31.pcap,672,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.153.179.83.pcap,243,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.154.193.174.pcap,115,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.161.43.156.pcap,737,2,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.166.38.131.pcap,87,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.167.180.195.pcap,67,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.174.167.93.pcap,225,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.176.242.226.pcap,2501,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.176.45.239.pcap,2745,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.183.181.66.pcap,173,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.183.22.169.pcap,255,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.183.3.44.pcap,191,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.186.244.166.pcap,169,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.187.221.140.pcap,1929,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.189.117.79.pcap,22918,50,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.34.190.207.220.pcap,196,0,0,0,0,0,0,0,0,
