protocol,IP,ID,Time,F_Pck,B_Pck,B_Hash_IP,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,203.178.135.82,659126397,7.780429,48,32,14,14,0,0,0
6,203.178.132.76,385599130,7.894827,40,40,4,5,0,0,0
6,13.116.170.28,143218946,7.906116,0,80,1,3,0,0,0
6,163.169.103.30,237997597,7.925121,80,0,1,1,0,0,0
6,163.169.98.252,487070549,7.954343,34,46,1,1,0,0,0
6,5.104.164.215,546350386,7.960508,0,80,13,14,0,0,0
6,188.190.145.228,640138995,7.963434,46,34,1,1,0,0,0
6,203.178.132.76,385599130,8.017723,34,46,5,5,0,0,0
6,45.19.46.31,519737037,8.044224,53,27,1,1,0,0,0
6,203.178.135.82,659126397,8.048463,37,43,14,15,0,0,0
6,13.116.170.28,143218946,8.072389,0,80,1,2,0,0,0
6,157.85.135.13,276641843,8.080383,42,38,1,1,0,0,0
6,163.169.103.30,237997597,8.083745,80,0,1,1,0,0,0
6,147.76.156.113,1033230859,8.098097,72,8,1,1,0,0,0
6,34.37.53.54,593246290,8.118576,53,27,1,1,0,0,0
6,167.80.93.97,1029308445,8.182163,48,32,1,1,0,0,0
6,203.178.132.76,385599130,8.194654,27,53,6,5,0,1,0
6,203.178.135.82,659126397,8.204589,45,35,14,15,0,0,0
6,13.116.170.28,143218946,8.244317,0,80,1,3,0,0,0
6,163.169.103.30,237997597,8.25954,80,0,1,1,0,0,0
6,203.178.135.82,659126397,8.354866,49,31,15,14,0,0,0
6,192.225.202.156,786851504,50.883362,80,0,16,1,80,0,1
6,13.116.170.28,143218946,8.423792,0,80,1,2,0,0,0
6,163.169.103.30,237997597,8.434366,80,0,1,1,0,0,0
6,147.76.156.113,1033230859,8.477885,70,10,1,1,0,0,0
6,203.178.132.76,385599130,8.509591,20,60,3,4,0,0,0
6,52.157.45.36,970213814,8.514733,0,80,1,1,0,0,0
6,2403:7FF4:EF1:383A:D183:F5BE:F1:25,93606319,8.561999,80,0,1,4,0,0,0
6,2001:3E04:2BD:305E:3469:1D88:D655:CCF9,667765584,8.561999,0,80,1,1,0,0,0
6,203.178.135.82,659126397,8.562076,30,50,14,13,0,0,0
6,13.116.170.28,143218946,8.575792,0,80,1,3,0,0,0
6,5.104.164.215,546350386,8.588792,0,80,13,13,0,0,0
6,163.169.103.30,237997597,8.594016,80,0,1,1,0,0,0
6,13.116.170.28,143218946,8.746499,0,80,1,3,0,0,0
6,163.169.103.30,237997597,8.754965,80,0,1,1,0,0,0
6,203.178.135.82,659126397,8.791538,41,39,16,15,0,0,0
6,203.178.132.76,385599130,8.814574,19,61,4,4,0,0,0
6,178.128.198.152,916207983,8.900141,10,70,1,1,0,0,0
6,13.116.170.28,143218946,8.918221,0,80,1,3,0,0,0
6,163.169.103.30,237997597,8.929681,80,0,1,1,0,0,0
6,147.76.156.113,1033230859,8.934375,75,5,1,1,0,0,0
6,203.178.135.82,659126397,9.019358,43,37,15,13,0,0,0
6,13.116.170.28,143218946,9.076713,0,80,1,2,0,0,0
6,163.169.103.30,237997597,9.083378,80,0,1,1,0,0,0
6,54.228.54.47,32887814,9.08383,33,47,1,1,0,0,0
6,203.178.132.76,385599130,9.097012,23,57,6,6,0,0,0
6,3.98.183.12,343609686,9.125616,30,50,1,1,0,0,0
6,203.178.135.82,659126397,9.222289,41,39,15,13,0,0,0
6,163.169.183.244,673871946,9.237524,1,79,2,2,0,0,0
6,13.116.170.28,143218946,9.240747,0,80,1,3,0,0,0
6,163.169.103.30,237997597,9.248222,80,0,1,1,0,0,0
6,163.169.98.252,487070549,9.273822,45,35,1,1,0,0,0
6,188.190.145.228,640138995,9.274755,36,44,1,1,0,0,0
6,5.104.164.215,546350386,9.311927,0,80,14,14,0,0,0
6,203.178.132.76,385599130,9.390804,19,61,3,2,0,0,0
6,13.116.170.28,143218946,9.407885,0,80,1,2,0,0,0
6,147.76.156.113,1033230859,9.420285,72,8,1,1,0,0,0
6,163.169.103.30,237997597,9.421443,80,0,1,1,0,0,0
6,17.243.55.72,551467847,9.431085,80,0,1,1,0,0,0
6,3.155.22.71,475115746,9.45184,40,40,1,1,0,0,0
6,203.178.135.82,659126397,9.466982,45,35,14,14,0,1,0
6,172.126.157.203,170454525,9.467163,44,36,1,1,0,0,0
6,13.116.170.28,143218946,9.563873,0,80,1,3,0,0,0
6,163.169.103.30,237997597,9.577883,80,0,1,1,0,0,0
6,14.167.155.8,921768834,54.830069,80,0,16,1,80,0,1
6,192.225.207.28,646584275,57.162433,80,0,16,1,80,0,1
6,3.174.54.75,201177771,9.648844,33,47,1,1,0,0,0
6,203.178.132.76,385599130,9.69477,22,58,5,6,0,0,0
6,13.116.170.28,143218946,9.714739,0,80,1,3,0,0,0
6,163.169.103.30,237997597,9.728371,80,0,1,1,0,0,0
6,203.178.135.82,659126397,9.771372,42,38,15,14,0,0,0
6,13.116.170.28,143218946,9.892406,0,80,1,2,0,0,0
6,163.169.103.30,237997597,9.89699,80,0,1,1,0,0,0
6,147.76.156.113,1033230859,9.914924,70,10,1,1,0,0,0
6,202.235.57.194,216354231,9.920371,80,0,9,1,0,0,0
6,5.104.164.215,546350386,9.932325,0,80,14,15,0,0,0
6,203.178.132.76,385599130,9.991234,20,60,4,5,0,0,0
6,13.116.170.28,143218946,10.038251,0,80,1,3,0,0,0
6,163.169.103.30,237997597,10.042658,80,0,2,1,0,0,0
6,178.128.198.152,916207983,10.075796,20,60,1,1,0,0,0
6,203.178.135.82,659126397,10.076236,39,41,14,14,0,0,0
6,218.30.48.246,96637073,10.111063,27,53,1,1,0,0,0
6,18.47.229.207,705557329,10.195744,44,36,1,1,0,0,0
6,13.116.170.28,143218946,10.196812,0,80,1,3,0,0,0
6,163.169.103.30,237997597,10.20863,80,0,1,1,0,0,0
6,203.178.132.76,385599130,10.245717,25,55,6,8,0,0,0
6,2001:3E04:2BD:305E:3469:1D88:D655:CCF9,667765584,10.278634,0,80,2,1,0,0,0
6,2403:7FF4:EF1:383A:D183:F5BE:F1:25,93606319,10.278913,80,0,1,4,0,0,0
6,165.124.3.187,186193821,57.164272,79,1,16,1,75,0,1
6,147.76.156.113,1033230859,10.33274,72,8,1,1,0,0,0
6,13.116.170.28,143218946,10.360418,0,80,1,3,0,0,0
6,163.169.103.30,237997597,10.372508,80,0,1,1,0,0,0
6,3.174.150.178,2610473,10.385898,38,42,1,1,0,0,0
6,203.178.135.82,659126397,10.441102,41,39,15,15,0,0,0
6,18.86.140.7,346870249,10.455825,43,37,1,1,0,0,0
6,198.38.157.78,530147584,10.466036,67,13,1,2,0,0,0
6,163.169.253.135,401430373,10.466036,13,67,1,1,0,0,0
6,5.104.164.215,546350386,10.495422,0,80,14,12,0,0,0
6,138.68.174.144,284993024,10.514757,80,0,1,1,0,0,0
6,203.178.132.76,385599130,10.518478,22,58,5,8,0,0,0
6,13.116.170.28,143218946,10.529915,0,80,1,2,0,0,0
6,163.169.103.30,237997597,10.538572,80,0,1,1,0,0,0
6,163.169.98.252,487070549,10.549585,41,39,1,1,0,0,0
6,188.190.145.228,640138995,10.55025,39,41,1,1,0,0,0
6,192.225.205.90,861917260,58.359527,80,0,16,1,80,0,1
6,13.116.170.28,143218946,10.690009,0,80,1,4,0,0,0
6,163.169.103.30,237997597,10.725523,80,0,1,1,0,0,0
6,203.178.132.76,385599130,10.769705,31,49,5,6,0,0,0
6,147.76.156.113,1033230859,10.78517,74,6,1,1,0,0,0
6,203.178.135.82,659126397,10.7944,46,34,15,13,0,0,0
6,136.104.235.222,508334639,58.550084,78,2,16,1,78,0,1
6,13.116.170.28,143218946,10.873878,0,80,1,2,0,0,0
6,163.169.103.30,237997597,10.883532,80,0,1,1,0,0,0
6,203.178.136.32,582033588,10.96453,26,54,8,10,0,1,0
6,203.178.132.76,385599130,10.974909,34,46,6,8,0,0,0
6,211.27.5.98,36504234,11.032613,41,39,1,1,0,0,0
6,13.116.170.28,143218946,11.048376,0,80,1,2,0,0,0
6,163.169.103.30,237997597,11.070856,80,0,1,1,0,0,0
6,138.164.142.218,975406191,11.11121,0,80,1,1,0,0,0
6,5.104.164.215,546350386,11.118901,0,80,14,14,0,0,0
6,203.178.132.76,385599130,11.146608,42,38,5,6,0,0,0
6,147.76.156.113,1033230859,11.252381,77,3,1,1,0,0,0
6,13.116.170.28,143218946,11.255504,0,80,1,3,0,0,0
6,203.178.135.82,659126397,11.269873,40,40,15,14,0,0,0
6,163.169.103.30,237997597,11.274563,80,0,1,1,0,0,0
6,203.178.132.76,385599130,11.366269,26,54,6,6,0,0,0
6,13.116.170.28,143218946,11.438377,0,80,1,2,0,0,0
6,163.169.103.30,237997597,11.448982,80,0,1,1,0,0,0
6,194.218.208.50,432256909,11.453437,0,80,1,16,0,0,0
6,203.178.132.76,385599130,11.567923,31,49,6,8,0,1,0
6,13.116.170.28,143218946,11.598525,0,80,1,4,0,0,0
6,163.169.103.30,237997597,11.62142,80,0,1,1,0,0,0
6,147.76.156.113,1033230859,11.654088,77,3,1,1,0,0,0
6,192.225.202.156,786851504,61.639975,80,0,16,1,80,0,1
6,13.116.170.28,143218946,11.76387,0,80,1,2,0,0,0
6,5.104.164.215,546350386,11.772647,0,80,13,13,0,0,0
6,163.169.103.30,237997597,11.774779,80,0,1,1,0,0,0
6,203.178.132.76,385599130,11.777236,31,49,7,7,0,0,0
6,203.178.135.82,659126397,11.779312,52,28,15,15,0,2,0
6,3.173.192.45,778625220,11.779763,37,43,1,1,0,0,0
6,18.2.185.163,100906837,11.821951,32,48,1,1,0,0,0
6,178.128.198.152,916207983,11.847902,20,60,1,1,0,0,0
6,13.116.170.28,143218946,11.931456,0,80,1,3,0,0,0
6,163.169.103.30,237997597,11.942495,80,0,1,1,0,0,0
6,3.129.117.197,1054815964,12.021813,50,30,1,1,0,0,0
6,14.167.155.8,921768834,63.010141,80,0,16,1,80,0,1
6,13.116.170.28,143218946,12.09081,0,80,1,3,0,0,0
6,163.169.98.252,487070549,12.096022,29,51,1,1,0,0,0
6,133.250.177.204,143951698,12.098312,80,0,2,16,0,0,0
6,163.169.103.30,237997597,12.100149,80,0,1,1,0,0,0
6,203.178.135.82,659126397,12.112723,44,36,14,15,0,0,0
6,203.178.132.76,385599130,12.120902,23,57,5,6,0,0,0
6,185.183.30.113,754698047,63.240467,80,0,16,1,80,0,1
6,13.58.31.5,567830485,12.14053,38,42,1,1,0,0,0
6,163.169.183.244,673871946,12.153943,1,79,3,2,0,0,0
6,185.90.15.6,894986908,64.001142,80,0,16,1,80,0,1
6,54.223.236.80,504806920,12.218142,39,41,1,1,0,0,0
6,13.98.11.225,16739037,12.232198,39,41,1,1,0,0,0
6,188.190.145.228,640138995,12.271381,51,29,1,1,0,0,0
6,13.116.170.28,143218946,12.273421,0,80,2,3,0,0,0
6,163.169.103.30,237997597,12.293621,80,0,1,1,0,0,0
6,5.104.164.215,546350386,12.300635,0,80,14,13,0,0,0
6,17.243.55.72,551467847,12.338026,80,0,1,1,0,0,0
6,192.225.205.90,861917260,67.385527,80,0,16,1,80,0,1
6,203.178.135.82,659126397,12.400649,43,37,14,15,0,0,0
6,3.97.192.8,857892074,12.400649,36,44,1,1,0,0,0
6,18.6.151.124,464875877,12.400773,34,46,1,1,0,0,0
6,13.116.170.28,143218946,12.438946,0,80,1,3,0,0,0
6,3.55.162.123,684317697,12.446355,36,44,1,1,0,0,0
6,203.178.142.231,1056819258,12.450648,51,29,1,1,0,0,0
6,121.97.8.93,711321639,12.450648,29,51,1,1,0,0,0
6,163.169.103.30,237997597,12.451724,80,0,1,1,0,0,0
6,54.171.32.35,649571527,12.522478,38,42,1,1,0,0,0
6,54.245.12.48,141945809,12.529188,34,46,1,1,0,0,0
6,133.250.177.211,829740347,12.566936,76,4,3,15,0,0,0
6,13.116.170.28,143218946,12.596913,0,80,1,5,0,0,0
6,18.6.250.205,375640718,12.602934,33,47,1,1,0,0,0
6,203.178.135.82,659126397,12.603745,54,26,15,14,0,0,0
6,2001:3E04:2BD:305E:3469:1D88:D655:CCF9,667765584,12.607006,0,80,2,1,0,0,0
6,163.169.103.30,237997597,12.609786,80,0,1,1,0,0,0
6,110.142.235.230,176547894,69.483113,78,2,16,1,76,0,1
6,18.6.227.202,992314320,12.618256,41,39,1,1,0,0,0
6,2403:7FF4:EF1:383A:D183:F5BE:F1:25,93606319,12.635503,80,0,1,4,0,0,0
6,202.235.60.85,7804284,12.662882,80,0,3,1,0,0,0
