bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,2,5,6,14,19,26,39,
1,2,3,4,5,15,35,42,
1,2,5,6,7,8,9,15,
1,2,3,4,6,9,17,26,
1,2,3,4,5,7,8,10,
1,2,3,4,5,8,23,24,
1,2,3,4,5,10,11,24,
1,3,5,8,12,13,20,25,
1,2,3,4,5,7,9,11,
1,2,4,5,7,8,12,16,
1,2,3,4,12,15,18,21,
1,2,3,4,6,9,10,20,
1,2,3,5,7,12,14,16,
1,4,5,6,8,12,19,34,
1,2,3,7,12,17,18,22,
1,2,3,4,7,9,11,12,
1,2,3,4,9,13,14,16,
1,3,5,6,7,8,9,11,
1,2,3,4,5,7,12,20,
1,2,3,5,6,7,13,16,
1,2,3,4,5,13,14,25,
1,2,3,4,5,8,10,12,
1,2,3,4,5,6,9,14,
1,3,4,5,6,7,12,23,
1,2,4,5,7,9,11,22,
1,2,3,4,5,6,9,17,
1,2,3,4,6,13,18,24,
1,2,3,4,7,9,10,24,
1,2,3,4,6,9,13,15,
1,2,3,6,7,8,12,22,
1,2,3,4,5,7,11,14,
1,3,4,6,11,12,14,35,
1,2,3,4,5,6,7,35,
1,2,3,4,5,10,12,13,
1,2,3,4,7,8,12,21,
1,2,3,5,6,8,12,13,
1,2,7,9,10,11,13,49,
1,2,3,4,6,8,14,16,
1,2,7,10,11,12,15,22,
1,3,4,5,7,8,14,19,
1,2,6,7,8,9,24,25,
1,2,5,6,8,9,17,25,
1,2,3,4,11,12,18,25,
1,2,3,4,5,10,13,16,
1,2,3,8,9,10,22,23,
1,2,4,5,6,9,14,15,
1,3,4,5,7,13,14,16,
1,2,3,4,5,14,16,23,
1,2,3,5,6,10,16,27,
1,2,3,4,5,6,13,14,
1,2,3,4,6,8,14,17,
1,3,4,6,7,8,11,21,
1,2,3,5,7,10,12,14,
1,2,3,5,6,8,9,11,
1,2,3,5,6,9,10,13,
1,2,3,6,7,11,14,18,
1,2,3,5,6,8,10,25,
1,2,3,4,7,10,12,19,
1,2,4,5,6,11,22,29,
1,2,4,5,6,7,18,52,
1,3,4,5,6,9,16,23,
1,2,4,5,6,10,13,29,
1,2,3,4,10,12,13,32,
1,2,3,5,8,11,15,16,
1,2,3,6,11,14,17,20,
1,2,3,5,6,8,15,22,
1,2,3,6,7,9,11,13,
1,2,3,4,5,6,15,16,
1,2,3,5,6,7,8,31,
1,2,3,5,6,11,20,24,
1,2,3,4,6,8,14,15,
1,2,4,6,8,15,19,26,
1,3,4,5,6,11,14,17,
1,2,3,5,6,14,16,19,
1,2,4,5,6,11,14,20,
1,4,5,7,10,18,21,32,
1,2,3,5,6,14,20,27,
1,2,3,6,7,10,11,13,
1,2,3,7,9,10,11,14,
1,2,6,8,9,11,15,20,
1,2,7,8,10,12,14,22,
